Day,Date,New Visitor,Returning Visitor
Wednesday,6/27/2018,2839,3297
Thursday,6/28/2018,2623,3077
Friday,6/29/2018,2116,2878
Saturday,6/30/2018,1585,1658
Sunday,7/1/2018,1738,1747
Monday,7/2/2018,2659,3487
Tuesday,7/3/2018,2167,3061
Wednesday,7/4/2018,1560,1370
Thursday,7/5/2018,2430,3221
Friday,7/6/2018,2026,2987
Saturday,7/7/2018,1611,1673
Sunday,7/8/2018,1756,1904
Monday,7/9/2018,2717,3998
Tuesday,7/10/2018,2583,3660
Wednesday,7/11/2018,2771,3687
Thursday,7/12/2018,2574,3618
Friday,7/13/2018,2374,3264
Saturday,7/14/2018,1695,1940
Sunday,7/15/2018,1861,2129
Monday,7/16/2018,2805,4256
Tuesday,7/17/2018,2956,4007
Wednesday,7/18/2018,2630,3712
Thursday,7/19/2018,2787,3612
Friday,7/20/2018,2224,2841
Saturday,7/21/2018,1841,1779
Sunday,7/22/2018,2040,2151
Monday,7/23/2018,3041,4179
Tuesday,7/24/2018,3133,4217
Wednesday,7/25/2018,2817,3902
Thursday,7/26/2018,4217,5647
Friday,7/27/2018,2899,3850
Saturday,7/28/2018,1944,1886
Sunday,7/29/2018,2066,2269
Monday,7/30/2018,3186,4364
Tuesday,7/31/2018,3007,4359
Wednesday,8/1/2018,3734,5082
Thursday,8/2/2018,3178,4393
Friday,8/3/2018,2744,3867
Saturday,8/4/2018,1920,2261
Sunday,8/5/2018,1997,2332
Monday,8/6/2018,3063,4390
Tuesday,8/7/2018,3095,4727
Wednesday,8/8/2018,3245,4824
Thursday,8/9/2018,3125,4513
Friday,8/10/2018,2576,3909
Saturday,8/11/2018,1966,2487
Sunday,8/12/2018,2128,2582
Monday,8/13/2018,3050,4836
Tuesday,8/14/2018,2866,4686
Wednesday,8/15/2018,2962,5017
Thursday,8/16/2018,3385,5214
Friday,8/17/2018,2832,4366
Saturday,8/18/2018,2080,2773
Sunday,8/19/2018,2465,3181
Monday,8/20/2018,3430,5966
Tuesday,8/21/2018,3479,5792
Wednesday,8/22/2018,3148,5397
Thursday,8/23/2018,3536,6602
Friday,8/24/2018,3748,7190
Saturday,8/25/2018,2804,5426
Sunday,8/26/2018,2927,5583
Monday,8/27/2018,3746,8702
Tuesday,8/28/2018,3898,7708
Wednesday,8/29/2018,3837,7759
Thursday,8/30/2018,3728,7193
Friday,8/31/2018,3028,5701
Saturday,9/1/2018,2074,2887
Sunday,9/2/2018,2052,3210
Monday,9/3/2018,2656,4504
Tuesday,9/4/2018,3819,6903
Wednesday,9/5/2018,3747,6721
Thursday,9/6/2018,3922,6213
Friday,9/7/2018,3124,5065
Saturday,9/8/2018,2319,2850
Sunday,9/9/2018,2809,3748
Monday,9/10/2018,4227,6795
Tuesday,9/11/2018,3868,6101
Wednesday,9/12/2018,3685,6082
Thursday,9/13/2018,3568,5903
Friday,9/14/2018,3284,5204
Saturday,9/15/2018,2220,2865
Sunday,9/16/2018,2554,3762
Monday,9/17/2018,3773,6194
Tuesday,9/18/2018,3743,5911
Wednesday,9/19/2018,3658,5541
Thursday,9/20/2018,3960,5493
Friday,9/21/2018,3226,4666
Saturday,9/22/2018,2297,2647
Sunday,9/23/2018,2649,3729
Monday,9/24/2018,3739,6192
Tuesday,9/25/2018,4835,7518
Wednesday,9/26/2018,3806,6153
Thursday,9/27/2018,3651,5716
Friday,9/28/2018,3135,4965
Saturday,9/29/2018,2495,2988
Sunday,9/30/2018,2572,3934
Monday,10/1/2018,4040,6894
Tuesday,10/2/2018,4097,6385
Wednesday,10/3/2018,4220,6567
Thursday,10/4/2018,3819,6086
Friday,10/5/2018,3514,5090
Saturday,10/6/2018,2630,3119
Sunday,10/7/2018,4095,3860
Monday,10/8/2018,3771,6475
Tuesday,10/9/2018,3580,5866
Wednesday,10/10/2018,3805,5845
Thursday,10/11/2018,3598,5300
Friday,10/12/2018,2918,4573
Saturday,10/13/2018,2277,2741
Sunday,10/14/2018,2533,3596
Monday,10/15/2018,3686,6197
Tuesday,10/16/2018,3552,5830
Wednesday,10/17/2018,3443,5523
Thursday,10/18/2018,3193,5207
Friday,10/19/2018,2957,4502
Saturday,10/20/2018,2228,2431
Sunday,10/21/2018,2459,3059
Monday,10/22/2018,3419,4567
Tuesday,10/23/2018,3642,6184
Wednesday,10/24/2018,3673,6140
Thursday,10/25/2018,5368,7787
Friday,10/26/2018,3272,4853
Saturday,10/27/2018,2444,2516
Sunday,10/28/2018,2599,3805
Monday,10/29/2018,4637,6951
Tuesday,10/30/2018,3698,6664
Wednesday,10/31/2018,3243,5813
Thursday,11/1/2018,4119,6107
Friday,11/2/2018,4681,5154
Saturday,11/3/2018,2470,2739
Sunday,11/4/2018,2930,4102
Monday,11/5/2018,4418,7581
Tuesday,11/6/2018,4189,6770
Wednesday,11/7/2018,4228,7035
Thursday,11/8/2018,3884,6346
Friday,11/9/2018,3260,5142
Saturday,11/10/2018,2768,2961
Sunday,11/11/2018,2653,4122
Monday,11/12/2018,3835,7204
Tuesday,11/13/2018,4353,7306
Wednesday,11/14/2018,4289,6967
Thursday,11/15/2018,4673,7027
Friday,11/16/2018,3815,5810
Saturday,11/17/2018,2670,2626
Sunday,11/18/2018,2564,3174
Monday,11/19/2018,4061,5401
Tuesday,11/20/2018,4524,4279
Wednesday,11/21/2018,10100,3565
Thursday,11/22/2018,3224,1982
Friday,11/23/2018,2697,2334
Saturday,11/24/2018,2616,2628
Sunday,11/25/2018,2575,3841
Monday,11/26/2018,4941,7264
Tuesday,11/27/2018,4492,7098
Wednesday,11/28/2018,4227,6595
Thursday,11/29/2018,4230,5975
Friday,11/30/2018,3555,5308
Saturday,12/1/2018,4417,3285
Sunday,12/2/2018,3801,4943
Monday,12/3/2018,4913,7202
Tuesday,12/4/2018,4431,6382
Wednesday,12/5/2018,5165,6103
Thursday,12/6/2018,4432,6002
Friday,12/7/2018,3980,5530
Saturday,12/8/2018,4546,4076
Sunday,12/9/2018,5031,4826
Monday,12/10/2018,4940,6968
Tuesday,12/11/2018,4328,7061
Wednesday,12/12/2018,4115,6282
Thursday,12/13/2018,4614,6700
Friday,12/14/2018,3728,5159
Saturday,12/15/2018,4672,2795
Sunday,12/16/2018,2834,2743
Monday,12/17/2018,3940,4802
Tuesday,12/18/2018,4734,4994
Wednesday,12/19/2018,3472,4243
Thursday,12/20/2018,3070,4094
Friday,12/21/2018,3158,3876
Saturday,12/22/2018,2903,2785
Sunday,12/23/2018,2031,2034
Monday,12/24/2018,1722,1669
Tuesday,12/25/2018,1574,1421
Wednesday,12/26/2018,2843,3085
Thursday,12/27/2018,3150,3354
Friday,12/28/2018,3211,3243
Saturday,12/29/2018,2340,2108
Sunday,12/30/2018,1957,2107
Monday,12/31/2018,2666,2310
Tuesday,1/1/2019,2222,2337
Wednesday,1/2/2019,3380,4775
Thursday,1/3/2019,3858,4701
Friday,1/4/2019,3576,4197
